INFO  - 2017-08-10 10:35:04.708; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-08-10 10:35:04.817; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\solr-4.9.1\example\contexts at interval 0
INFO  - 2017-08-10 10:35:04.868; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\solr-4.9.1\example\contexts\solr-jetty-context.xml
INFO  - 2017-08-10 10:35:05.089; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/solr-4.9.1/example/webapps/solr.war!/ to C:\solr-4.9.1\example\solr-webapp\webapp
INFO  - 2017-08-10 10:35:10.662; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-08-10 10:35:10.913; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-08-10 10:35:10.978; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-08-10 10:35:10.979; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-08-10 10:35:11.012; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-08-10 10:35:11.497; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\solr-4.9.1\example\solr\solr.xml
INFO  - 2017-08-10 10:35:11.897; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\solr-4.9.1\example\solr
INFO  - 2017-08-10 10:35:11.935; org.apache.solr.core.CoreContainer; New CoreContainer 63387985
INFO  - 2017-08-10 10:35:11.940; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-08-10 10:35:11.974; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-08-10 10:35:11.977; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-08-10 10:35:11.993; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-08-10 10:35:12.002; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-08-10 10:35:12.004; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-08-10 10:35:12.005; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-08-10 10:35:12.007; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-08-10 10:35:12.008; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-08-10 10:35:12.010; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-08-10 10:35:13.892; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-08-10 10:35:13.897; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-08-10 10:35:13.903; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-08-10 10:35:14.143; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\solr-4.9.1\example\solr
INFO  - 2017-08-10 10:35:14.182; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\solr-4.9.1\example\solr\collection1\
INFO  - 2017-08-10 10:35:14.186; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2017-08-10 10:35:14.197; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\solr-4.9.1\example\solr\collection1\'
INFO  - 2017-08-10 10:35:14.400; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2017-08-10 10:35:14.408; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-08-10 10:35:14.410; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-08-10 10:35:14.411; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2017-08-10 10:35:14.414; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2017-08-10 10:35:14.416; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2017-08-10 10:35:14.418; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2017-08-10 10:35:14.420; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2017-08-10 10:35:14.422; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2017-08-10 10:35:14.424; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2017-08-10 10:35:14.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-08-10 10:35:14.429; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-08-10 10:35:14.432; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2017-08-10 10:35:14.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2017-08-10 10:35:14.438; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2017-08-10 10:35:14.440; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-08-10 10:35:14.442; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
